State,Prison,Status,Managed,Public/Private,Capacity,Males,Females,Max,Latitude,Longitude
Australian Capital Territory,Alexander Maconochie Centre,Operational,ACT Corrective Services,Public,300,444,33,477,-35.370943,149.171805
Australian Capital Territory,Belconnen Remand Centre,Closed,ACT Corrective Services,Public,60,0,0,60,-35.2386,149.0626
Australian Capital Territory,Bimberi Youth Justice Centre,Operational,"ACT Department of Disability, Housing and Community Services",Public,40,0,0,40,-35.2192874,149.134957
Australian Capital Territory,Periodic Detention Centre,Operational,ACT Corrective Services,Public,49,0,0,49,-35.34639,149.17778
Australian Capital Territory,Symonston Correctional Centre,Operational,ACT Corrective Services,Public,22,0,0,22,-35.34639,149.17778
New South Wales,Acmena Juvenile Justice Centre,Operational,Juvenile Justice NSW,Public,?,0,0,0,-29.68333,152.93333
New South Wales,Albury Gaol,Closed,n/a,Public,?,0,0,0,-36.08056,146.91583
New South Wales,Amber Laurel Correctional Centre,Operational (ABS),Unknown,?,?,17,0,17,-33.7440146,150.6693439
New South Wales,Armidale Gaol,Closed,n/a,Public,?,0,0,0,-30.5,151.65
New South Wales,Balranald Gaol,Museum,n/a,Public,?,0,0,0,-34.61667,143.56667
New South Wales,Batemans Bay Police/Court Cells,Operational (ABS),Unknown,?,?,3,0,3,-35.707662,150.1752743
New South Wales,Bathurst Correctional Centre,Operational,Corrective Services NSW,Public,650,615,10,650,-33.41778,149.55833
New South Wales,Bega Gaol,Closed,n/a,Public,?,0,0,0,-36.667,149.833
New South Wales,Berrima Correctional Centre,Operational,Corrective Services NSW,Public,75,0,51,75,-34.48748,150.33545
New South Wales,Biloela Gaol (Convict Precinct),Events venue,Sydney Harbour Federation Trust,Public,?,0,0,0,-33.84684,151.17115
New South Wales,Bolwara House Transitional Centre,Operational (ABS),Unknown,?,?,0,14,14,-32.7107955,151.5686517
New South Wales,Bombala Gaol,Closed,n/a,Public,?,0,0,0,-36.91667,149.23333
New South Wales,Braidwood Gaol,Closed,n/a,Public,?,0,0,0,-35.43333,149.8
New South Wales,Brewarrina (Yetta Dhinnakkal) Centre,Operational,Corrective Services NSW,Public,70,21,0,70,-30.350835,146.891024
New South Wales,Broken Hill Correctional Centre (initially as Silverton Gaol),Operational,Corrective Services NSW,Public,89,66,9,89,-31.9651528,141.4564861
New South Wales,Broken Hill Juvenile Justice Centre,Operational,Juvenile Justice NSW,Public,?,0,0,0,-31.95667,141.46778
New South Wales,Burrowa Gaol (or maybe Boorowa Gaol),Closed,n/a,Public,?,0,0,0,-34.433,148.717
New South Wales,Cessnock Correctional Centre,Operational,Correctional Services NSW,Public,750,524,0,750,-32.81694,151.33917
New South Wales,Cobham Juvenile Justice Centre,Operational,Juvenile Justice NSW,Public,?,0,0,0,-33.7607,150.7774
New South Wales,Compulsory Drug Treatment Correctional Centre,Operational (ABS),Unknown,?,?,52,0,52,-33.720558,150.9096353
New South Wales,Condobolin Gaol,Closed,n/a,Public,?,0,0,0,-33.08861,147.14944
New South Wales,Cooma Correctional Centre,Operational+ museum,Corrective Services NSW,Public,160,199,0,199,-36.232967,149.122833
New South Wales,Coonabarabran Gaol,Closed,n/a,Public,?,0,0,0,-31.25,149.267
New South Wales,Cootamundra Gaol,Closed,n/a,Public,?,0,0,0,-34.64167,148.025
New South Wales,Darlinghurst Gaol,Closed,National Art School,Public,?,0,0,0,-33.87972,151.21861
New South Wales,Dawn de Loas Correctional Centre,Operational (ABS),Unknown,?,?,478,0,478,-33.8308128,151.0532726
New South Wales,Defence Force Correctional Establishment,Operational,Australian Defence Force,Public,22,0,0,22,-33.995,150.95167
New South Wales,Deniliquin Gaol,Closed,n/a,Public,?,0,0,0,-35.53333,144.96667
New South Wales,Dillwynia Women's Correctional Centre,Operational,Corrective Services NSW,Public,200,0,210,210,-33.6471424,150.7803607
New South Wales,Dubbo Gaol,Museum & events venue,Commonwealth of Australia,Public,?,0,0,0,-32.2459,148.6025
New South Wales,Dubbo Police/Court Cells,Operational (ABS),Unknown,?,?,3,0,3,-32.2476988,148.6012436
New South Wales,Emu Plains Correctional Centre,Operational,Corrective Services NSW,Public,190,0,136,190,-33.7379,150.6679
New South Wales,Fort Denison,Museum,National Parks and Wildlife Service,Public,?,0,0,0,-33.8549,151.2255
New South Wales,Frank Baxter Juvenile Justice Centre,Operational,Juvenile Justice NSW,Public,120,0,0,120,-33.44,151.301
New South Wales,Glen Innes Correctional Centre,Operational,Corrective Services NSW,Public,95,168,0,168,-29.641667,152.09999
