State,Prison,Status,Capacity,Males,Females,Max,Latitude,Longitude
Australian Capital Territory,Alexander Maconochie Centre,Operational,300,444,33,477,-35.370943,149.171805
Australian Capital Territory,Belconnen Remand Centre,Closed,60,0,0,60,-35.2386,149.0626
Australian Capital Territory,Bimberi Youth Justice Centre,Operational,40,0,0,40,-35.2192874,149.134957
Australian Capital Territory,Periodic Detention Centre,Operational,49,0,0,49,-35.34639,149.17778
Australian Capital Territory,Symonston Correctional Centre,Operational,22,0,0,22,-35.34639,149.17778
New South Wales,Acmena Juvenile Justice Centre,Operational,?,0,0,0,-29.68333,152.93333
New South Wales,Albury Gaol,Closed,?,0,0,0,-36.08056,146.91583
New South Wales,Amber Laurel Correctional Centre,Operational (ABS),?,17,0,17,-33.7440146,150.6693439
New South Wales,Armidale Gaol,Closed,?,0,0,0,-30.5,151.65
New South Wales,Balranald Gaol,Museum,?,0,0,0,-34.61667,143.56667
New South Wales,Batemans Bay Police/Court Cells,Operational (ABS),?,3,0,3,-35.707662,150.1752743
New South Wales,Bathurst Correctional Centre,Operational,650,615,10,650,-33.41778,149.55833
New South Wales,Bega Gaol,Closed,?,0,0,0,-36.667,149.833
New South Wales,Berrima Correctional Centre,Operational,75,0,51,75,-34.48748,150.33545
New South Wales,Biloela Gaol (Convict Precinct),Events venue,?,0,0,0,-33.84684,151.17115
New South Wales,Bolwara House Transitional Centre,Operational (ABS),?,0,14,14,-32.7107955,151.5686517
New South Wales,Bombala Gaol,Closed,?,0,0,0,-36.91667,149.23333
New South Wales,Braidwood Gaol,Closed,?,0,0,0,-35.43333,149.8
New South Wales,Brewarrina (Yetta Dhinnakkal) Centre,Operational,70,21,0,70,-30.350835,146.891024
New South Wales,Broken Hill Correctional Centre (initially as Silverton Gaol),Operational,89,66,9,89,-31.9651528,141.4564861
New South Wales,Broken Hill Juvenile Justice Centre,Operational,?,0,0,0,-31.95667,141.46778
New South Wales,Burrowa Gaol (or maybe Boorowa Gaol),Closed,?,0,0,0,-34.433,148.717
New South Wales,Cessnock Correctional Centre,Operational,750,524,0,750,-32.81694,151.33917
